id, Common_Name, Scientific_Name, Sunlight_Needs, Moisture_Levels, Humidity, Poisonous, Maintenance_Level, Price
34, Moth Orchid, Phalae0psis amabilis, Indirect Sun, Well drained soil, High Humidity, 0, Medium, $$
35, String of Pearls, Senecia rowleyanus, Bright Indirect Sun, Dryer soil, Average Humidity, 0, Low, $
36, Dutch Clover, Trifolium repens, Partial Sun, Well drained soil, Average Humiidity, 0, Low, $
37, Common Periwinkle, Vinca mi0r, Partial Sun, Mpost soil, Average Humidity, 1, Medium, $$
38, Asparagus Fern, Asparagus plumosus, Partial to Full Sun, Allow soil to dry out between waterings, Higher Humidity, 1, Low, $
39, African violet, Streotocarpus ionanthus, Partial Sun, Moist but well drained soil, Average Humidity, 0, Medium, $
40, Weeping Fig, Ficus benjamina, Bright Indirect Sun, Moist soil, High Humidity, 1, High, $$
41, Petra Croton, Codiaeum Variegatum, Full Sun, Moist soil, High Humidity, 1, High, $$
42, Long Flower Kalanchoe, Kalanchoe longiflora, Bright Indirect Sun, Well drained dryer soil, Average Humidity, 1, Low, $$
43, Garber Daisy, Gerbera jamesonii, Bright Indirect Sun, Allow to partially dry out between waterings, Average Humidity, 0, Medium, $$
44, Dwarf Azalea, Rhododendron atlanticum, Bright Indirect Sun, Moist well drained soil, Average Humidity, 1, Medium, $
45, Peppermint, Mentha piperita, Indirect Sun, Moist soil, High HUmidity, 1, Medium, $
46, Wax Begonia,  Begonia cucullata, Full Sun, Allow soil to partially dry out between waterings, Low Humidity, 1, Low, $
47, Umbrella Plant, Schefflera arboricola, Indirect Sun, Allow soil to dry out between waterings, Average Humidity, 1, Low, $
48, Areca Palm, Dypsis lutescens, Bright Indirect Sun, Moist soil, High Humidity, 0, High, $$
49, Bamboo Palm, Chamaedorea costaricana, Bright Indirect Sun, Moist soil, High Humidity, 0, Medium, $$
50, Flamingo Flower, Anthurium scherzerianum, Bright Indirect Sun, Moist but well drained soil, High Humidity, 1, Medium. $$
51, Zanzibar Gem, Zamioculcas zamiifolia, Bright Indirect Sun, Allow soil to dry out between waterings, Average Humdity, 1, Low, $$
52, Juniper Bonsai, Juniperus chinensis, Partial Sun, Moist soil, High Humidity, 1, High, $$







